學號	作業一(5%)	期中考(30%)	作業二(5%)	期末考(30%)	程式一(7.5%)	程式二(7.5%)	作業考試得分	參與度(10%)	學期成績
482210020	66	46	68	73	0	0	49.1	11	70 
482210023	82	64	65	73	0	0	55.8	8	74 
482220029	91	73	81	65	0	0	58.6	7	76 
482220040	95	60	69	70	0	0	55.4	8	73 
482225028	71	25	81	51	0	0	38	8	56 
482410003	96	35	78	50	83	0	51.2	5	66 
482410011	85	64	79	63	93	0	63.8	15	89 
482410016	90	42	57	51	95	0	52.1	9	71 
482410017	96	59	59	71	0	0	54.5	8	73 
482410018	91	72	87	65	95	0	68.4	11.5	90 
482410022	99	66	78	74	90	0	68.7	9	88 
482410027	95	33	70	55	85	0	51.4	5	66 
482410028	100	72	93	63	95	0	69.3	11.5	91 
482410030	95	47	78	57	92	0	57.7	9	77 
482410040	0	58	78	64	0	0	44.4	7	61 
482410043	0	49	86	76	82	0	54.3	4	68 
483210003	68	58	66	46	92	93	56.775	11	74 
483210004	92	57	73	77	90	83	66.425	16	88 
483410003	91	68	78	59	93	91	65.35	13	84 
483410004	85	67	34	79	80	97	68.025	12	86 
483410006	30	44	84	46	0	84	44	9	59 
483410007	82	49	63	48	90	93	55.075	8	69 
483410008	95	84	81	88	93	98	79.725	12	98 
483410012	83	49	57	50	95	82	54.975	16	77 
483410013	99	64	88	65	90	82	65.95	12	84 
483410015	75	43	0	36	0	82	38.6	9	54 
483410016	90	66	68	66	0	82	58.65	8	73 
483410018	96	66	74	63	93	96	66.375	14	86 
483410019	93	57	82	40	50	83	52.825	10	69 
483410020	68	43	73	37	0	83	42.275	13	61 
483410021	88	19	0	14	0	0	19.3	13	38 
483410026	95	40	52	59	0	83	48.275	9	63 	
483410028	99	55	36	34	0	80	44.45	6	56 	
483410031	94	63	79	71	88	80	66.45	14	86 	
483410033	84	56	34	40	0	98	47.05	8	61 	
483410034	0	32	52	27	0	0	25.3	5	36 	
483410038	73	62	73	61	0	78	55.05	9	70 	
483410039	88	50	72	85	91	92	67.225	9	82 	
483410042	92	76	79	64	92	91	69.275	14	89 	
483410046	100	71	79	61	90	85	66.675	15	88 	
483410047	100	79	88	77	85	98	74.925	13	94 	
484410053	97	70	0	76	88	83	66.475	11	83 	
										
