,,,,,,,,,,,,,
（林昀嫺老師）,,,,,,,,,,,,,
1 一般侵權行為 ,general tort,一般侵權行為,ordinary acts of infringement,一般侵權行為,,,,,,,,,
2 特殊侵權行為 ,special tort,特殊侵權行為,specific tort,特殊侵權行為,,,,,,,,,
3 虛偽陳述 ,misrepresentation,虛偽意思表示/虛偽陳述/失實陳述,misstatement,錯誤陳述,false statement,虛偽的陳述,,,,,,,
4 偽證 ,perjury,偽證,,,,,,,,,,,
5 權利濫用 ,abuse of right,權利濫用,,,,,,,,,,,
6 第三人異議之訴 ,third party action,第三人異議之訴,third party action against execution,第三人異議之訴,,,,,,,,,
7 事實上處分權 ,de facto right of disposition,事實上處分權,,,,,,,,,,,
8 登記 ,register,登記,registration,登記,registered,登記,,,,,,,
9 侵害債權 ,claim damage/damage the claim,侵害債權,claim infringement,侵害債權,,,,,,,,,
10 處分自己財產 ,dispose his/her own property,處分自己財產,appropriate his/her own property,處分自己財產,,,,,,,,,
11 共同侵權行為 ,joint tort,共同不法行為,joint unlawful/illegal acts,共同不法行為,,,,,,,,,
12 通謀行為 ,conspire(conspiracy),通謀,collude(collusion),通謀,,,,,,,,,
13 過失造意 ,instigating due to negligence,過失造意,,,,,,,,,,,
14 造意人之共同侵權行為 ,joint tort by instigators,造意人之共同侵權行為,instigator as joint tortfeasor,造意人作為共同侵權行為人,,,,,,,,,
15 造意人 ,instigator,造意人,,,,,,,,,,,
16 公務員侵權責任 ,tort liability of public officer,公務員侵權責任,the tort liability of public official,,,,,,,,,,
17 超額貸款 ,,,,,,,,,,,,,
18 民法第186條之第三人 ,third party in civil code article 186,民法第186條之第三人,third party in civil law article 186,民法第186條之第三人,,,,,,,,,
19 警械使用條例 ,act governing use of police weapons,警械使用條例,ordinance governing use of police weapons,警械使用條例,,,,,,,,,
20 國家賠償 ,state compensation,國家賠償,,,,,,,,,,,
21 用槍不當 ,,,,,,,,,,,,,
22 法定代理人侵權責任 ,tort liability of statutory agent,法定代理人侵權責任,,,,,,,,,,,
23 保護教養義務 ,duty to support,扶養義務,duty to protect and to educate,保護與教養義務,,,,,,,,,
24 監護權無從行使 ,no way to exercise guardianship ,監護權無從行使,,,,,,,,,,,
25 法定代理人之責任 ,responsibility of statutory agent,法定代理人之責任,liability of statutory agent,法定代理人(侵權)責任,,,,,,,,,
26 不真正連帶債務 ,Unelchte Solidaritat,不真正連帶債務,Unechte Solidaritat,不真正連帶債務,,,,,,,,,
27 靠行 ,,,,,,,,,,,,,
28 僱傭關係 ,employment,僱傭(關係),,,,,,,,,,,
